instance,output,time
ai-instances/random/random_25.smt2,unsat,38.60
ai-instances/random/random_26.smt2,sat,0.06
ai-instances/random/random_30.smt2,sat,0.30
ai-instances/random/random_07.smt2,sat,18.26
ai-instances/random/random_09.smt2,sat,121.31
ai-instances/random/random_19.smt2,unsat,26.75
ai-instances/random/random_20.smt2,sat,0.05
ai-instances/random/random_05.smt2,unsat,94.25
ai-instances/random/random_21.smt2,unknown,252.86
ai-instances/random/random_08.smt2,sat,0.06
ai-instances/random/random_16.smt2,sat,3.98
ai-instances/random/random_04.smt2,sat,3.55
ai-instances/random/random_28.smt2,sat,0.05
ai-instances/random/random_02.smt2,sat,0.08
ai-instances/random/random_06.smt2,unsat,94.66
ai-instances/random/random_23.smt2,sat,0.04
ai-instances/random/random_12.smt2,sat,0.48
ai-instances/random/random_03.smt2,sat,35.81
ai-instances/random/random_13.smt2,sat,0.04
ai-instances/random/random_01.smt2,unsat,0.07
ai-instances/random/random_17.smt2,unsat,43.66
ai-instances/random/random_14.smt2,sat,0.52
ai-instances/random/random_27.smt2,sat,0.16
ai-instances/random/random_10.smt2,sat,0.04
ai-instances/random/random_15.smt2,sat,0.09
ai-instances/random/random_24.smt2,sat,0.04
ai-instances/random/random_11.smt2,sat,0.18
ai-instances/random/random_18.smt2,sat,1.92
ai-instances/random/random_29.smt2,sat,0.09
ai-instances/random/random_22.smt2,sat,0.13
