instance,output,time
ai-instances/random/random_22.smt2,sat,0.04
ai-instances/random/random_07.smt2,sat,8.33
ai-instances/random/random_27.smt2,sat,0.07
ai-instances/random/random_08.smt2,sat,0.07
ai-instances/random/random_13.smt2,sat,0.04
ai-instances/random/random_20.smt2,sat,0.05
ai-instances/random/random_18.smt2,sat,1.30
ai-instances/random/random_01.smt2,unsat,0.07
ai-instances/random/random_14.smt2,sat,0.59
ai-instances/random/random_23.smt2,sat,0.04
ai-instances/random/random_02.smt2,sat,0.07
ai-instances/random/random_28.smt2,sat,0.04
ai-instances/random/random_12.smt2,sat,0.08
ai-instances/random/random_15.smt2,sat,0.09
ai-instances/random/random_30.smt2,sat,0.19
ai-instances/random/random_25.smt2,unsat,37.39
ai-instances/random/random_06.smt2,unsat,85.97
ai-instances/random/random_10.smt2,sat,0.04
ai-instances/random/random_16.smt2,sat,1.82
ai-instances/random/random_11.smt2,sat,0.11
ai-instances/random/random_03.smt2,sat,16.64
ai-instances/random/random_17.smt2,unsat,40.17
ai-instances/random/random_24.smt2,sat,0.04
ai-instances/random/random_29.smt2,sat,0.19
ai-instances/random/random_19.smt2,unsat,25.51
ai-instances/random/random_04.smt2,sat,2.94
ai-instances/random/random_26.smt2,sat,0.05
ai-instances/random/random_09.smt2,sat,8.73
ai-instances/random/random_05.smt2,unsat,103.30
ai-instances/random/random_21.smt2,sat,11.96
