instance,output,time
ai-instances/random/random_12.smt2,sat,3.77
ai-instances/random/random_10.smt2,sat,0.10
ai-instances/random/random_09.smt2,sat,274.24
ai-instances/random/random_15.smt2,sat,1.23
ai-instances/random/random_22.smt2,unsat,0.08
ai-instances/random/random_28.smt2,unsat,0.05
ai-instances/random/random_16.smt2,unsat,0.95
ai-instances/random/random_03.smt2,sat,287.92
ai-instances/random/random_19.smt2,unsat,1.37
ai-instances/random/random_14.smt2,sat,13.96
ai-instances/random/random_17.smt2,unsat,1.70
ai-instances/random/random_21.smt2,unsat,18.70
ai-instances/random/random_26.smt2,unsat,0.05
ai-instances/random/random_07.smt2,unsat,6.13
ai-instances/random/random_23.smt2,sat,0.09
ai-instances/random/random_24.smt2,sat,0.14
ai-instances/random/random_18.smt2,sat,32.59
ai-instances/random/random_29.smt2,sat,2.37
ai-instances/random/random_20.smt2,sat,0.13
ai-instances/random/random_05.smt2,unsat,1.67
ai-instances/random/random_11.smt2,sat,3.08
ai-instances/random/random_27.smt2,sat,0.29
ai-instances/random/random_02.smt2,unsat,0.05
ai-instances/random/random_13.smt2,sat,3.70
ai-instances/random/random_01.smt2,unsat,0.03
ai-instances/random/random_08.smt2,sat,1.17
ai-instances/random/random_06.smt2,unsat,1.23
ai-instances/random/random_25.smt2,unsat,1.11
ai-instances/random/random_04.smt2,unsat,2.61
ai-instances/random/random_30.smt2,sat,4.07
