instance,output,time
ai-instances/random-mixed/mixed_20.smt2,sat,47.34
ai-instances/random-mixed/mixed_12.smt2,sat,9.03
ai-instances/random-mixed/mixed_24.smt2,unsat,8.14
ai-instances/random-mixed/mixed_09.smt2,sat,77.03
ai-instances/random-mixed/mixed_05.smt2,sat,101.99
ai-instances/random-mixed/mixed_01.smt2,sat,89.18
ai-instances/random-mixed/mixed_27.smt2,sat,34.70
ai-instances/random-mixed/mixed_26.smt2,unsat,3.07
ai-instances/random-mixed/mixed_11.smt2,sat,4.94
ai-instances/random-mixed/mixed_17.smt2,sat,5.33
ai-instances/random-mixed/mixed_29.smt2,sat,36.55
ai-instances/random-mixed/mixed_23.smt2,unsat,2.75
ai-instances/random-mixed/mixed_04.smt2,sat,6.07
ai-instances/random-mixed/mixed_22.smt2,sat,18.37
ai-instances/random-mixed/mixed_02.smt2,sat,26.80
ai-instances/random-mixed/mixed_03.smt2,sat,116.24
ai-instances/random-mixed/mixed_19.smt2,sat,335.96
ai-instances/random-mixed/mixed_10.smt2,sat,8.36
ai-instances/random-mixed/mixed_14.smt2,unsat,10.46
ai-instances/random-mixed/mixed_21.smt2,sat,252.72
ai-instances/random-mixed/mixed_07.smt2,sat,32.31
ai-instances/random-mixed/mixed_15.smt2,sat,26.18
ai-instances/random-mixed/mixed_13.smt2,sat,35.10
ai-instances/random-mixed/mixed_08.smt2,unsat,0.96
ai-instances/random-mixed/mixed_16.smt2,sat,7.08
ai-instances/random-mixed/mixed_30.smt2,unsat,1.31
ai-instances/random-mixed/mixed_06.smt2,sat,111.39
ai-instances/random-mixed/mixed_25.smt2,unsat,2.04
ai-instances/random-mixed/mixed_18.smt2,unsat,0.48
ai-instances/random-mixed/mixed_28.smt2,sat,0.29
