instance,output,time
ai-instances/modular/modular_17.smt2,sat,365.35
ai-instances/modular/modular_07.smt2,sat,0.79
ai-instances/modular/modular_23.smt2,unsat,27.15
ai-instances/modular/modular_11.smt2,sat,3.90
ai-instances/modular/modular_30.smt2,sat,0.66
ai-instances/modular/modular_06.smt2,sat,5.47
ai-instances/modular/modular_27.smt2,unsat,46.13
ai-instances/modular/modular_18.smt2,timeout,600
ai-instances/modular/modular_25.smt2,sat,3.30
ai-instances/modular/modular_14.smt2,sat,52.98
ai-instances/modular/modular_26.smt2,unsat,43.60
ai-instances/modular/modular_10.smt2,unsat,105.28
ai-instances/modular/modular_20.smt2,timeout,600
ai-instances/modular/modular_29.smt2,sat,3.43
ai-instances/modular/modular_19.smt2,timeout,600
ai-instances/modular/modular_01.smt2,unsat,2.14
ai-instances/modular/modular_15.smt2,timeout,600
ai-instances/modular/modular_03.smt2,sat,8.02
ai-instances/modular/modular_13.smt2,sat,8.34
ai-instances/modular/modular_09.smt2,unsat,517.90
ai-instances/modular/modular_05.smt2,sat,8.18
ai-instances/modular/modular_16.smt2,sat,19.71
ai-instances/modular/modular_02.smt2,sat,0.72
ai-instances/modular/modular_21.smt2,timeout,600
ai-instances/modular/modular_22.smt2,timeout,600
ai-instances/modular/modular_04.smt2,sat,0.53
ai-instances/modular/modular_12.smt2,unsat,16.02
ai-instances/modular/modular_08.smt2,unsat,158.56
ai-instances/modular/modular_24.smt2,timeout,600
ai-instances/modular/modular_28.smt2,sat,2.15
