instance,output,time
ai-instances/random/random_01.smt2,unsat,0.02
ai-instances/random/random_18.smt2,sat,42.69
ai-instances/random/random_13.smt2,sat,4.73
ai-instances/random/random_23.smt2,sat,0.11
ai-instances/random/random_22.smt2,unsat,0.08
ai-instances/random/random_24.smt2,sat,0.13
ai-instances/random/random_15.smt2,sat,1.91
ai-instances/random/random_25.smt2,unsat,1.98
ai-instances/random/random_05.smt2,unsat,6.11
ai-instances/random/random_02.smt2,sat,0.08
ai-instances/random/random_14.smt2,sat,16.19
ai-instances/random/random_17.smt2,unsat,3.71
ai-instances/random/random_16.smt2,sat,2.34
ai-instances/random/random_03.smt2,sat,56.86
ai-instances/random/random_28.smt2,sat,0.05
ai-instances/random/random_20.smt2,sat,0.12
ai-instances/random/random_30.smt2,sat,4.64
ai-instances/random/random_07.smt2,sat,14.78
ai-instances/random/random_06.smt2,unsat,4.12
ai-instances/random/random_19.smt2,unsat,1.46
ai-instances/random/random_29.smt2,sat,1.69
ai-instances/random/random_08.smt2,sat,1.74
ai-instances/random/random_27.smt2,sat,0.25
ai-instances/random/random_10.smt2,sat,0.10
ai-instances/random/random_26.smt2,sat,0.06
ai-instances/random/random_21.smt2,sat,31.31
ai-instances/random/random_12.smt2,sat,4.85
ai-instances/random/random_09.smt2,sat,290.40
ai-instances/random/random_04.smt2,sat,10.88
ai-instances/random/random_11.smt2,sat,3.69
