instance,output,time
ai-instances/random/random_22.smt2,unsat,0.98
ai-instances/random/random_24.smt2,sat,0.04
ai-instances/random/random_19.smt2,unsat,27.50
ai-instances/random/random_13.smt2,sat,0.34
ai-instances/random/random_11.smt2,sat,0.18
ai-instances/random/random_14.smt2,sat,0.57
ai-instances/random/random_09.smt2,sat,15.78
ai-instances/random/random_15.smt2,sat,0.15
ai-instances/random/random_02.smt2,sat,0.02
ai-instances/random/random_26.smt2,sat,0.03
ai-instances/random/random_03.smt2,sat,3.31
ai-instances/random/random_07.smt2,sat,0.79
ai-instances/random/random_20.smt2,sat,0.03
ai-instances/random/random_23.smt2,sat,0.03
ai-instances/random/random_12.smt2,sat,0.19
ai-instances/random/random_18.smt2,sat,2.11
ai-instances/random/random_05.smt2,unsat,121.37
ai-instances/random/random_10.smt2,sat,0.04
ai-instances/random/random_28.smt2,sat,0.04
ai-instances/random/random_04.smt2,sat,0.59
ai-instances/random/random_21.smt2,unsat,1.35
ai-instances/random/random_08.smt2,sat,0.12
ai-instances/random/random_16.smt2,sat,0.10
ai-instances/random/random_25.smt2,unsat,40.40
ai-instances/random/random_29.smt2,sat,0.15
ai-instances/random/random_30.smt2,sat,0.31
ai-instances/random/random_17.smt2,unsat,44.68
ai-instances/random/random_27.smt2,sat,0.04
ai-instances/random/random_01.smt2,unsat,0.07
ai-instances/random/random_06.smt2,unsat,91.83
