instance,output,time
ai-instances/random-mixed/mixed_28.smt2,sat,0.04
ai-instances/random-mixed/mixed_25.smt2,timeout,600
ai-instances/random-mixed/mixed_22.smt2,sat,0.13
ai-instances/random-mixed/mixed_07.smt2,sat,154.98
ai-instances/random-mixed/mixed_10.smt2,sat,0.72
ai-instances/random-mixed/mixed_18.smt2,unsat,54.40
ai-instances/random-mixed/mixed_14.smt2,timeout,600
ai-instances/random-mixed/mixed_24.smt2,timeout,600
ai-instances/random-mixed/mixed_30.smt2,unsat,29.72
ai-instances/random-mixed/mixed_27.smt2,sat,0.71
ai-instances/random-mixed/mixed_01.smt2,sat,2.17
ai-instances/random-mixed/mixed_11.smt2,sat,5.42
ai-instances/random-mixed/mixed_08.smt2,sat,1.08
ai-instances/random-mixed/mixed_02.smt2,sat,1.52
ai-instances/random-mixed/mixed_16.smt2,sat,0.30
ai-instances/random-mixed/mixed_21.smt2,sat,25.74
ai-instances/random-mixed/mixed_09.smt2,sat,5.87
ai-instances/random-mixed/mixed_17.smt2,sat,1.16
ai-instances/random-mixed/mixed_04.smt2,sat,0.29
ai-instances/random-mixed/mixed_19.smt2,sat,475.86
ai-instances/random-mixed/mixed_26.smt2,unsat,335.98
ai-instances/random-mixed/mixed_13.smt2,sat,0.61
ai-instances/random-mixed/mixed_15.smt2,sat,11.18
ai-instances/random-mixed/mixed_12.smt2,sat,0.80
ai-instances/random-mixed/mixed_06.smt2,sat,9.31
ai-instances/random-mixed/mixed_03.smt2,sat,149.89
ai-instances/random-mixed/mixed_05.smt2,sat,7.04
ai-instances/random-mixed/mixed_29.smt2,sat,1.28
ai-instances/random-mixed/mixed_23.smt2,timeout,600
ai-instances/random-mixed/mixed_20.smt2,sat,2.04
