instance,output,time
ai-instances/modular/modular_23.smt2,unsat,2.55
ai-instances/modular/modular_02.smt2,sat,0.77
ai-instances/modular/modular_17.smt2,unsat,170.29
ai-instances/modular/modular_12.smt2,unsat,1.46
ai-instances/modular/modular_05.smt2,sat,6.63
ai-instances/modular/modular_07.smt2,unsat,3.31
ai-instances/modular/modular_14.smt2,unsat,32.07
ai-instances/modular/modular_19.smt2,unsat,317.69
ai-instances/modular/modular_11.smt2,unsat,17.06
ai-instances/modular/modular_03.smt2,sat,6.47
ai-instances/modular/modular_01.smt2,unsat,0.25
ai-instances/modular/modular_18.smt2,unsat,285.07
ai-instances/modular/modular_29.smt2,sat,1.35
ai-instances/modular/modular_15.smt2,unsat,82.18
ai-instances/modular/modular_06.smt2,sat,3.32
ai-instances/modular/modular_24.smt2,unsat,457.52
ai-instances/modular/modular_30.smt2,sat,0.89
ai-instances/modular/modular_09.smt2,unsat,60.00
ai-instances/modular/modular_13.smt2,unsat,21.06
ai-instances/modular/modular_21.smt2,unsat,320.19
ai-instances/modular/modular_20.smt2,unsat,176.83
ai-instances/modular/modular_16.smt2,unsat,116.96
ai-instances/modular/modular_10.smt2,unsat,11.61
ai-instances/modular/modular_04.smt2,sat,0.54
ai-instances/modular/modular_22.smt2,unsat,423.29
ai-instances/modular/modular_28.smt2,sat,1.42
ai-instances/modular/modular_08.smt2,unsat,17.10
ai-instances/modular/modular_27.smt2,unsat,5.56
ai-instances/modular/modular_26.smt2,unsat,4.76
ai-instances/modular/modular_25.smt2,sat,0.44
