instance,output,time
ai-instances/divisibility/divisibility_26.smt2,sat,218.89
ai-instances/divisibility/divisibility_04.smt2,sat,99.56
ai-instances/divisibility/divisibility_28.smt2,timeout,600
ai-instances/divisibility/divisibility_25.smt2,timeout,600
ai-instances/divisibility/divisibility_12.smt2,sat,177.55
ai-instances/divisibility/divisibility_28.smt2,timeout,600
ai-instances/divisibility/divisibility_06.smt2,sat,110.09
ai-instances/divisibility/divisibility_02.smt2,sat,30.84
ai-instances/divisibility/divisibility_08.smt2,timeout,600
ai-instances/divisibility/divisibility_13.smt2,sat,98.82
ai-instances/divisibility/divisibility_29.smt2,sat,196.82
ai-instances/divisibility/divisibility_07.smt2,sat,0.30
ai-instances/divisibility/divisibility_21.smt2,sat,266.80
ai-instances/divisibility/divisibility_14.smt2,timeout,600
ai-instances/divisibility/divisibility_19.smt2,timeout,600
ai-instances/divisibility/divisibility_16.smt2,sat,87.89
ai-instances/divisibility/divisibility_01.smt2,sat,2.41
ai-instances/divisibility/divisibility_27.smt2,timeout,600
ai-instances/divisibility/divisibility_25.smt2,timeout,600
ai-instances/divisibility/divisibility_10.smt2,sat,0.94
ai-instances/divisibility/divisibility_05.smt2,sat,0.66
ai-instances/divisibility/divisibility_22.smt2,timeout,600
ai-instances/divisibility/divisibility_20.smt2,timeout,600
ai-instances/divisibility/divisibility_18.smt2,sat,8.87
ai-instances/divisibility/divisibility_11.smt2,sat,13.67
ai-instances/divisibility/divisibility_30.smt2,sat,13.97
ai-instances/divisibility/divisibility_09.smt2,sat,11.05
ai-instances/divisibility/divisibility_24.smt2,sat,313.92
ai-instances/divisibility/divisibility_15.smt2,timeout,600
ai-instances/divisibility/divisibility_23.smt2,timeout,600
ai-instances/divisibility/divisibility_17.smt2,timeout,600
ai-instances/divisibility/divisibility_03.smt2,sat,2.40
