instance,output,time
ai-instances/modular/modular_15.smt2,unsat,254.34
ai-instances/modular/modular_02.smt2,sat,0.39
ai-instances/modular/modular_11.smt2,sat,1.74
ai-instances/modular/modular_14.smt2,sat,16.69
ai-instances/modular/modular_07.smt2,sat,0.45
ai-instances/modular/modular_21.smt2,timeout,600
ai-instances/modular/modular_26.smt2,unsat,22.10
ai-instances/modular/modular_08.smt2,unsat,72.97
ai-instances/modular/modular_12.smt2,unsat,9.87
ai-instances/modular/modular_30.smt2,sat,0.52
ai-instances/modular/modular_20.smt2,sat,172.15
ai-instances/modular/modular_27.smt2,unsat,22.03
ai-instances/modular/modular_09.smt2,unsat,240.92
ai-instances/modular/modular_19.smt2,timeout,600
ai-instances/modular/modular_10.smt2,unsat,54.41
ai-instances/modular/modular_24.smt2,timeout,600
ai-instances/modular/modular_04.smt2,sat,0.42
ai-instances/modular/modular_28.smt2,sat,1.31
ai-instances/modular/modular_25.smt2,sat,1.97
ai-instances/modular/modular_05.smt2,sat,4.45
ai-instances/modular/modular_29.smt2,sat,2.07
ai-instances/modular/modular_23.smt2,unsat,15.49
ai-instances/modular/modular_22.smt2,timeout,600
ai-instances/modular/modular_06.smt2,sat,2.38
ai-instances/modular/modular_18.smt2,sat,475.56
ai-instances/modular/modular_03.smt2,sat,4.51
ai-instances/modular/modular_13.smt2,sat,3.30
ai-instances/modular/modular_16.smt2,sat,12.52
ai-instances/modular/modular_01.smt2,unsat,1.83
ai-instances/modular/modular_17.smt2,sat,158.32
