instance,output,time
ai-instances/random/random_08.smt2,sat,1.70
ai-instances/random/random_28.smt2,unsat,0.06
ai-instances/random/random_03.smt2,sat,37.03
ai-instances/random/random_11.smt2,sat,2.35
ai-instances/random/random_17.smt2,unsat,1.98
ai-instances/random/random_10.smt2,sat,0.08
ai-instances/random/random_25.smt2,unsat,1.66
ai-instances/random/random_24.smt2,sat,0.12
ai-instances/random/random_20.smt2,sat,0.11
ai-instances/random/random_18.smt2,sat,35.52
ai-instances/random/random_13.smt2,sat,8.37
ai-instances/random/random_16.smt2,unsat,1.48
ai-instances/random/random_23.smt2,sat,0.10
ai-instances/random/random_30.smt2,sat,0.57
ai-instances/random/random_19.smt2,unsat,1.45
ai-instances/random/random_29.smt2,sat,0.82
ai-instances/random/random_12.smt2,sat,4.29
ai-instances/random/random_06.smt2,unsat,2.38
ai-instances/random/random_15.smt2,sat,1.76
ai-instances/random/random_27.smt2,sat,0.19
ai-instances/random/random_21.smt2,sat,225.44
ai-instances/random/random_09.smt2,sat,405.13
ai-instances/random/random_26.smt2,unsat,0.04
ai-instances/random/random_04.smt2,unsat,3.13
ai-instances/random/random_22.smt2,unsat,0.18
ai-instances/random/random_01.smt2,unsat,0.03
ai-instances/random/random_14.smt2,sat,8.55
ai-instances/random/random_02.smt2,unsat,0.10
ai-instances/random/random_07.smt2,unsat,9.15
ai-instances/random/random_05.smt2,unsat,6.95
